artist,title
Carl Thomas,Summer Rain
LL Cool J,Imagine That
Shyne Featuring Barrington Levy,Bad Boyz
Eminem,The Way I Am
Big Tymers,#1 Stunna
Profyle,Liar
Ja Rule Featuring Christina Milian,Between Me And You
Changing Faces,That Other Woman
Debelah Morgan,Dance With Me
Lucy Pearl,Don't Mess With My Man
Beenie Man Featuring Mya,Girls Dem Sugar
Ludacris Featuring Shawnna,What's Your Fantasy
Kelly Price,You Should've Told Me
Cam'ron,What Means The World To You
Tamia,Can't Go For That
Wyclef Jean Featuring Mary J. Blige,911
De La Soul Featuring Redman,Oooh.
Trina,Pull Over
C-Murder Featuring Snoop Dogg And Magic,Down For My N's
R. Kelly,I Wish
Jill Scott,Gettin' In The Way
Destiny's Child,Independent Women Part I
Talib Kweli & Hi-Tek,Move Somethin'
Avant Featuring KeKe Wyatt,My First Love
Nelly,E.I.
Musiq,Just Friends (Sunny)
Absoulute,Is It Really Like That?
Charlie Wilson,Without You
JAY-Z,I Just Wanna Love U (Give It 2 Me)
Funkmaster Flex Featuring DMX,Do You
Slimm Calhoun Featuring Andre 3000,It's OK
Usher,Pop Ya Collar
Next,Beauty Queen
Silkk The Shocker Featuring Master P And Mac,He Did That
Chante Moore,Straight Up
Carl Thomas,Emotional
Dave Hollister,One Woman Man
Sade,By Your Side
OutKast,Ms. Jackson
Damizza Presents Shade Sheist Featuring Nate Dogg & Kurupt,Where I Wanna Be
Lil' Kim Featuring Sisqo,How Many Licks?
Jagged Edge,Promise
Donell Jones,This Luv
Master P,Souljas
Keith Sweat Featuring Lil' Mo,I'll Trade (A Million Bucks)
Eminem Featuring Dido,Stan
Mystikal Featuring Nivea,Danger (Been So Long)
3LW,No More (Baby I'ma Do Right)
Snoop Dogg Presents Doggys Angels Featuring LaToya,Baby If You're Ready
Samantha Mumba,Gotta Tell You
Cash Money Millionaires,Project Chick
Lil Bow Wow,Bow Wow (That's My Name)
112,It's Over Now
Jaheim,Could It Be
Public Announcement,Mamacita
Sunday,I Know
Joe Featuring Mystikal,Stutter
Memphis Bleek Featuring Jay-Z & Missy Elliott,Is That Your Chick
Tamia,Stranger In My House
"Shaggy Featuring Ricardo ""RikRok"" Ducent",It Wasn't Me
Snoop Dogg,Snoop Dogg
Mos Def & Pharoahe Monch Featuring Nate Dogg,Oh No
Bilal,Soul Sista
Dream,He Loves U Not
Xzibit,X
De La Soul Featuring Chaka Khan,All Good?
Ja Rule Featuring Lil' Mo & Vita,Put It On Me
Erykah Badu,Didn't Cha Know
Jill Scott,A Long Walk
Boyz II Men,Thank You In Advance
Mr. C The Slide Man,Cha-Cha Slide
Koffee Brown,After Party
Ludacris,Southern Hospitality
Musiq Soulchild,Love
Master P Featuring Silkk The Shocker,Bout Dat
Tank,Maybe I Deserve
OutKast,"So Fresh, So Clean"
Jon B,Don't Talk
"Jay-Z, Beanie Sigel And Memphis Bleek",Change The Game
Eve,Who's That Girl?
Maxwell,Get To Know Ya
Case,Missing You
Project Pat,Chickenhead
QB Finest Featuring Nas & Bravehearts,Oochie Wally
Iconz Featuring Tony Manshino,Get Crunked Up
Sunshine Anderson,Heard It All Before
Monica,Just Another Girl
Nelly Featuring City Spud,Ride Wit Me
R. Kelly,Feelin' On Yo Booty
Public Announcement,Man Ain't Supposed To Cry
Olivia,Bizounce
"Missy ""Misdemeanor"" Elliott",Get Ur Freak On
India.Arie,Video
"Funkmaster Flex Presents Faith Evans Feat. Ja Rule, Vita & Caddillac Tah",Goodlife
Philly's Most Wanted,Cross The Border
Talib Kweli & Hi-Tek Featuring Vinia Mojica,The Blast
Janet,All For You
Jennifer Lopez,Love Don't Cost A Thing
City High,What Would You Do?
Destiny's Child,Survivor
Trick Daddy Featuring The SNS Express,Take It To Da House
"Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz",Lay Low
Ginuwine,There It Is
Lil' Mo Featuring Fabolous,Superwoman Pt. II
R. Kelly Featuring Jay-Z,Fiesta
Lil Bow Wow Featuring Jagged Edge,Puppy Love
Jay-Z Featuring R. Kelly,Guilty Until Proven Innocent
112,Peaches & Cream
R. Kelly,A Woman's Threat
Eve Featuring Gwen Stefani,Let Me Blow Ya Mind
Tyrese,I Like Them Girls
2Pac,Until The End Of Time
Eric Benet,Love Don't Love Me
Faith Evans Featuring Carl Thomas,Can't Believe
Blu Cantrell,Hit 'Em Up Style (Oops!)
Donnie McClurkin,We Fall Down
"Three The... G. Dep, P. Diddy & Black Rob",Let's Get It
Lil' Romeo,My Baby
Ja Rule Featuring Lil' Mo,I Cry
Aaliyah Featuring Timbaland,We Need A Resolution
Ray J Featuring Lil' Kim,Wait A Minute
Jimmy Cozier,She's All I Got
Shaggy Featuring Rayvon,Angel
Babyface,There She Goes
Luther Vandross,Take You Out
Redman Featuring DJ Kool,Let's Get Dirty (I Can't Get In Da Club)
Erick Sermon Featuring Marvin Gaye,Music
Kelli Mack,Keep It Real
Jagged Edge With Nelly,Where The Party At
Jaheim,Just In Case
Toya,I Do!!
Jill Scott,The Way
Usher,U Remind Me
Alicia Keys,Fallin'
Dave Hollister,Take Care Of Home
Violator Featuring Busta Rhymes,What It Is
Craig David,Fill Me In
Destiny's Child,Bootylicious
Syleena Johnson,I Am Your Woman
"Christina Aguilera, Lil' Kim, Mya & P!nk",Lady Marmalade
Mariah Carey Featuring Da Brat & Ludacris,Loverboy
St. Lunatics,Midwest Swing
Jennifer Lopez Featuring Ja Rule,I'm Real
Juvenile,Set It Off
The Isley Brothers Featuring Ronald Isley,Contagious
"Missy ""Misdemeanor"" Elliott",One Minute Man
D12,Purple Hills
Ludacris Featuring Nate Dogg,Area Codes
Ginuwine,Differences
"P. Diddy, Black Rob & Mark Curry",Bad Boy For Life
India.Arie,Brown Skin
Fabolous Featuring Nate Dogg,Can't Deny It
Snoop Dogg Featuring Tyrese & Mr. Tan,Just A Baby Boy
JAY-Z,Izzo (H.O.V.A.)
Mary J. Blige,Family Affair
Philly's Most Wanted Featuring Andre Wilson,Please Don't Mind
Trick Daddy,I'm A Thug
Coo Coo Cal,My Projects
Lil Bow Wow,Ghetto Girls
"Lil Jon & The East Side Boyz Featuring Ludacris, Too Short, Big Kap & Chyna Whyte",Bia' Bia'
Maxwell,Lifetime
Brian McKnight,Love Of My Life
Petey Pablo,Raise Up
112,Dance With Me
Musiq Soulchild Featuring Ayana,Girl Next Door
Public Announcement Featuring LeLe,John Doe
Tank,Slowly
Ja Rule Featuring Case,Livin' It Up
Tyrese,What Am I Gonna Do
Aaliyah,Rock The Boat
Janet,Someone To Call My Lover
Bilal Featuring Dr. Dre & Jadakiss,Fast Lane
Jadakiss,Knock Yourself Out
Afroman,Because I Got High
Michael Jackson,You Rock My World
Bubba Sparxxx,Ugly
DMX,We Right Here
Foxy Brown Featuring Kelis,Candy
Faith Evans,You Gets No Love
Usher,U Got It Bad
"Lil' Wayne Featuring Baby, Mack 10 & Mickey",Shine
Babyface,What If
Allure,Enjoy Yourself
DMX,Who We Be
Jermaine Dupri Featuring Nate Dogg,Ballin' Out Of Control
City High Featuring Eve,Caramel
JAY-Z,"Girls, Girls, Girls"
Nelly,#1
Gerald Levert,Made To Love Ya
Mr. Cheeks,"Lights, Camera, Action!"
Destiny's Child,Emotion
Jagged Edge,Goodbye
Mariah Carey Featuring Mystikal,Don't Stop (Funkin' 4 Jamaica)
Whitney Houston,The Star Spangled Banner
Fat Joe Featuring R. Kelly,We Thuggin'
P. Diddy Featuring The Neptunes,Diddy
Alicia Keys,A Woman's Worth
Nate Dogg,I Got Love
"Ludacris, LL Cool J & Keith Murray",Fatty Girl
Angie Stone,Brotha
Erick Sermon Featuring Marvin Gaye,I'm Hot
Ludacris,Roll Out (My Business)
Busta Rhymes,Break Ya Neck
Michael Jackson,Butterflies
Ja Rule Featuring Ashanti,Always On Time
Dr. Dre Featuring Knoc-Turn'Al,Bad Intentions
Juvenile,From Her Mama (Mama Got A**)
"Janet Featuring Missy Elliott, P. Diddy & Carly Simon",Son Of A Gun
Dr. Dre & Snoop Dogg,The Wash
"Missy ""Misdemeanor"" Elliott Featuring Ginuwine & Tweet",Take Away
KeKe Wyatt Featuring Avant,Nothing In This World
'N Sync,Gone
Joe,Let's Stay Home Tonight
Mary J. Blige,No More Drama
Glenn Lewis,Don't You Forget It
Mystikal,Bouncin' Back (Bumpin' Me Against The Wall)
Jermaine Dupri & Ludacris,Welcome To Atlanta
Fabolous,Young'n (Holla Back)
OutKast Featuring Killer Mike,The Whole World
Method Man & Redman,Part II
Master P Featuring Weebie,Ooohhhwee
Aaliyah,More Than A Woman
Mobb Deep Featuring 112,Hey Luv (Anything)
Nas,Got Ur Self A...
R. Kelly,The World's Greatest
Lil Bow Wow Featuring Jagged Edge & Fundisha,Thank You
Jaheim Featuring Next,Anything
JAY-Z,Jigga
Nas,Ether
Jonell & Method Man,Round And Round
B2K,Uh Huh
Jill Scott,He Loves Me (Lyzel In E Flat)
Jennifer Lopez Featuring Ja Rule,Ain't It Funny
Corey Featuring Lil' Romeo,Hush Lil' Lady
Faith Evans,I Love You
Brandy,What About Us?
Tweet,Oops (Oh My)
Usher,U Don't Have To Call
Beanie Sigel & Freeway,Roc The Mic
Ashanti,Foolish
Montell Jordan,You Must Have Been
DMX Featuring Faith Evans,I Miss You
Fat Joe Featuring Ashanti,What's Luv?
Maxwell,This Woman's Work
R. Kelly & Jay-Z,Best Of Both Worlds (Intro)
Lil Bow Wow,Take Ya Home
Sharissa,Any Other Night
Ludacris Featuring Sleepy Brown,Saturday (Oooh! Ooooh!)
Musiq,halfcrazy
Avant,Makin' Good Love
Busta Rhymes Featuring P. Diddy & Pharrell,Pass The Courvoisier Part II
Jagged Edge Featuring Nas,I Got It 2
P. Diddy Featuring Usher & Loon,I Need A Girl (Part One)
Ruff Endz,Someone To Love You
Mary J. Blige Featuring Ja Rule,Rainy Dayz
Joe,What If A Woman
Nappy Roots,Awnaw
Angie Stone,Wish I Didn't Miss You
'N Sync Featuring Nelly,Girlfriend
Nas,One Mic
Naughty By Nature Featuring 3LW,Feels Good (Don't Worry Bout A Thing)
R. Kelly & Jay-Z,Take You Home With Me a.k.a. Body
Alicia Keys,How Come You Don't Call Me
Ying Yang Twins,Say I Yi Yi
Cam'Ron Featuring Juelz Santana,Oh Boy
B2K,Gots Ta Be
Ann Nesby Featuring Al Green,Put It On Paper
Truth Hurts Featuring Rakim,Addictive
R. Kelly & Jay-Z,Get This Money
"Ja Rule Featuring Charli ""Chuck"" Baltimore",Down A** Chick
Brandy,Full Moon
Donell Jones,You Know That I Love You
Big Tymers,Still Fly
Luther Vandross,I'd Rather
Brian McKnight Featuring Jermaine Dupri,Tell Me What's It Gonna Be
Tanto Metro & Devonte,Give It To Her
Jennifer Lopez Featuring Nas,I'm Gonna Be Alright
Nelly,Hot In Herre
Remy Shand,Take A Message
Tweet,Call Me
Scarface Featuring Jay-Z & Beanie Sigel,Guess Who's Back
Amerie,Why Don't We Fall In Love
Eminem,Without Me
JAY-Z,Song Cry
N.O.R.E.,Nothin'
Ashanti,Happy
"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",I Need A Girl (Part Two)
Clipse,Grindin'
R. Kelly & Jay-Z,Somebody's Girl
Ludacris Featuring Mystikal & Infamous 2.0,Move B***h
Mario,Just A Friend 2002
"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",Down 4 U
Khia Featuring DSD,"My Neck, My Back"
Angie Martinez Featuring Lil' Mo & Sacario,If I Could Go!
Sean Paul,Gimme The Light
Wyclef Jean Featuring Claudette Ortiz,Two Wrongs
Styles,Good Times
Ashanti,Baby
Dave Hollister,Keep Lovin' You
RL,Good Man
Lil Wayne,Way Of Life
Ginuwine,Stingy
Trick Daddy Featuring Cee-Lo & Big Boi,In Da Wind
R. Kelly,Heaven I Need A Hug
Eve Featuring Alicia Keys,Gangsta Lovin'
Nelly Featuring Kelly Rowland,Dilemma
"Faith Evans Featuring Missy ""Misdemeanor"" Elliott",Burnin' Up
Aaliyah,I Care 4 U
Monica,All Eyez On Me
Slum Village Featuring Dwele,Tainted
Fabolous Featuring P. Diddy & Jagged Edge,Trade It All
Nappy Roots Featuring Anthony Hamilton,Po' Folks
"Lil Bow Wow Featuring Jermaine Durpri, Fabolous & Fundisha",Basketball
Beenie Man Featuring Janet,Feel It Boy
Nivea Featuring Brian & Brandon Casey,Don't Mess With My Man
LL Cool J,Luv U Better
Eminem,Cleanin' Out My Closet
"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",Hey Ma
Tank,One Man
Musiq,dontchange
Keith Sweat Featuring Lola Troy & Lade Bac,One On One
Truth Hurts,The Truth
Erykah Badu Featuring Common,Love Of My Life (An Ode To Hip Hop)
"Big Tymers Featuring Tateeze, Boo & Gotti",Oh Yeah!
Clipse,When The Last Time
Scarface,On My Block
"Missy ""Misdemeanor"" Elliott",Work It
B2K,Why I Love You
Donell Jones,Put Me Down
3LW Featuring P. Diddy & Loon,I Do (Wanna Get Close To You)
Mario,Braid My Hair
Ms. Jade Featuring Timbaland & Nelly Furtado,"Ching, Ching"
India.Arie,Little Things
Floetry,Floetic
Erick Sermon Featuring Redman,React
Xzibit,Multiply
50 Cent,Wanksta
Ying Yang Twins Featuring Mr. Ball,By Myself
Eminem,Lose Yourself
WC Featuring Nate Dogg,The Streets
Fat Joe Featuring Ginuwine,Crush Tonight
Jay-Z Featuring Beyonce Knowles,'03 Bonnie & Clyde
Jaheim Featuring Tha Rayne,Fabulous
Amerie,Talkin' To Me
"Nelly Featuring Kyjuan, Ali & Murphy Lee",Air Force Ones
TLC,Girl Talk
Jennifer Lopez Featuring Styles & Jadakiss,Jenny From The Block
Ja Rule Featuring Bobby Brown,Thug Lovin'
Gerald Levert,Funny
Pastor Troy Featuring Ms. Jade,Are We Cuttin'
Heather Headley,He Is
Benzino,Rock The Party
R. Kelly,Ignition
Toni Braxton Featuring Loon,Hit The Freeway
Busta Rhymes Featuring Spliff Star,Make It Clap
Dru Hill,I Should Be...
Snoop Dogg,From Tha Chuuuch To Da Palace
Whitney Houston,One Of Those Days
Aaliyah,Miss You
Eve,Satisfaction
B2K & P. Diddy,"Bump, Bump, Bump"
Baby Featuring P. Diddy,Do That...
Nas,Made You Look
2Pac,Thugz Mansion
Wayne Wonder,No Letting Go
Field Mob,Sick Of Being Lonely
LL Cool J Featuring Amerie,Paradise
Freeway Featuring Jay-Z & Beanie Sigel,What We Do
Vivian Green,Emotional Rollercoaster
Common Featuring Mary J. Blige,Come Close To Me
Tyrese,How You Gonna Act Like That
Ja Rule Featuring Ashanti,Mesmerize
Syleena Johnson,Guess What
Trick Daddy Featuring LaTocha Scott,Thug Holiday
Jennifer Lopez Featuring LL Cool J,All I Have
"Missy ""Misdemeanor"" Elliott Featuring Ludacris",Gossip Folks
Smilez & Southstar,Tell Me (What's Goin' On)
The Notorious B.I.G. & 50 Cent,Realest N*ggas
50 Cent,In Da Club
Baby Featuring Clipse,What Happened To That Boy
Justin Timberlake,Cry Me A River
Nivea,Laundromat
Lil' Kim Featuring Mr. Cheeks,The Jump Off
JAY-Z,Excuse Me Miss
Snoop Dogg Featuring Pharrell & Uncle Charlie Wilson,Beautiful
Ginuwine Featuring Baby,Hell Yeah
Marques Houston,That Girl
Eminem,Superman
Killer Mike Featuring Big Boi,A.D.I.D.A.S.
Fat Joe Featuring Tony Sunshine & Armageddon,All I Need
DMX,X Gon' Give It To Ya
Nas,I Can
Sean Paul,Get Busy
Clipse Featuring Faith Evans,"Ma, I Don't Love Her"
Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,I Know What You Want
Floetry,Say Yes
B2K,Girlfriend
Fabolous Featuring Mike Shorey & Lil' Mo,Can't Let You Go
Jaheim,Put That Woman First
Trina Featuring Ludacris,B R Right
50 Cent Featuring Nate Dogg,21 Questions
The Isley Brothers Featuring Ronald Isley,What Would You Do?
Lil' Mo Featuring Fabolous,4 Ever
2Pac Featuring Trick Daddy,Still Ballin
Choppa Featuring Master P,Choppa Style
Talib Kweli,Get By
Heather Headley,I Wish I Wasn't
Nelly,Pimp Juice
"Missy ""Misdemeanor"" Elliott",P***ycat
Bone Crusher Featuring Killer Mike & T.I.,Never Scared
Joe Budden,Pump It Up
R. Kelly Featuring Big Tigger,Snake
Brian McKnight,"Shoulda, Woulda, Coulda"
Monica,So Gone
Lil Jon & The East Side Boyz Featuring Mystikal & Krayzie Bone,I Don't Give A @#&%
Panjabi MC Featuring Jay-Z,Beware Of The Boys (Mundian To Bach Ke)
Lil' Kim Featuring 50 Cent,Magic Stick
Hitman Sammy Sam,Step Daddy
Keith Murray Featuring Def Squad,Yeah Yeah U Know It
David Banner Featuring Lil' Flip,Like A Pimp
Da Brat Featuring Cherish,In Love Wit Chu
Lil Jon & The East Side Boyz Featuring Ying Yang Twins,Get Low
702,I Still Love You
Dru Hill,I Love You
Ashanti,Rock Wit U (Awww Baby)
Justin Timberlake,Rock Your Body
R. Kelly,I'll Never Leave
50 Cent,P.I.M.P.
Debreca,21 Questions (Again)
Loon Featuring Kelis,How You Want That
"Eminem, 50 Cent & Busta Rhymes",Hail Mary
Aaliyah,Come Over
Ginuwine,In Those Jeans
Chingy,Right Thurr
Beyonce Featuring Jay Z,Crazy In Love
Lumidee,"Never Leave You - Uh Ooh, Uh Oooh!"
Ludacris,Act A Fool
Pharrell Featuring Jay-Z,Frontin'
Freeway Featuring Peedi Crakk,Flipside
Sean Paul,Like Glue
50 Cent,If I Can't
Lil' Mo Featuring Free,21 Answers
Luther Vandross,Dance With My Father
Fabolous Featuring Tamia Or Ashanti,Into You
Kem,Love Calls
JAY-Z,La-La-La (Excuse Me Again)
Ruben Studdard,Superstar
Mya,My Love Is Like... Wo
"Nelly, P. Diddy & Murphy Lee",Shake Ya Tailfeather
Mary J. Blige Featuring Method Man,Love At 1st Sight
Tyrese,Signs Of Love Makin'
Bow Wow Featuring Baby,Let's Get Down
R. Kelly,Step In The Name Of Love
Young Gunz,"Can't Stop, Won't Stop"
50 Cent,What Up Gangsta
R. Kelly,Thoia Thoing
Tamia,Officially Missing You
Joe Budden Featuring Busta Rhymes,"Fire (Yes, Yes Y'all)"
Busta Rhymes,Light Your A** On Fire
YoungBloodZ Featuring Lil Jon,Damn!
T.I.,24's
Beyonce Featuring Sean Paul,Baby Boy
112 Featuring Super Cat,Na Na Na
Ashanti,Rain On Me
Javier,Crazy
Nick Cannon Featuring B2K,Feelin' Freaky
Elephant Man,"Pon De River, Pon De Bank"
Timbaland & Magoo Featuring Missy Elliott,Cop That Sh#!
Marques Houston Featuring Joe Budden & Pied Piper,Clubbin
Mary J. Blige,Ooh!
Erykah Badu,Danger
DMX,Where The Hood At?
Jagged Edge,Walked Outta Heaven
Ludacris Featuring Shawnna,Stand Up
Beyonce Featuring P. Diddy Or Ghostface Killah,Summertime
Avant,Read Your Mind
Obie Trice,Got Some Teeth
Chingy Featuring Ludacris & Snoop Dogg,Holidae In
Monica,Knock Knock
The Isley Brothers Featuring Ronald Isley & JS,Busted
B2K,What A Girl Wants
OutKast Featuring Sleepy Brown,The Way You Move
ATL,Calling All Girls
213,Fly
Murphy Lee Featuring Jermaine Dupri,Wat Da Hook Gon Be
Bad Boy's Da Band,Bad Boy This Bad Boy That
Dwele,Find A Way
Floetry,Getting Late
Missy Elliott,Pass That Dutch
Kelis,Milkshake
Ying Yang Twins,Naggin
Tupac Featuring The Notorious B.I.G.,Runnin (Dying To Live)
Ginuwine,Love You More
112 Featuring Ludacris,Hot & Wet
Ja Rule,Clap Back
G Unit,Stunt 101
Wyclef Jean Featuring Missy Elliott,Party To Damascus
Loon Featuring Mario Winans,Down For Me
Joe,More & More
Gerald Levert,U Got That Love (Call It A Night)
Musiq,Forthenight
JAY-Z,Change Clothes
Alicia Keys,You Don't Know My Name
JAY-Z,What More Can I Say
Beyonce,"Me, Myself And I"
Bow Wow Featuring Jagged Edge,My Baby
Michael Jackson,One More Chance
Westside Connection Featuring Nate Dogg,Gangsta Nation
Ying Yang Twins Featuring Lil Jon & The East Side Boyz,Salt Shaker
OutKast,Hey Ya!
Nick Cannon Featuring R. Kelly,Gigolo
Mya,Fallen
Smokie Norful,I Need You Now
Twista Featuring Kanye West & Jamie Foxx,Slow Jamz
Kanye West,Through The Wire
R. Kelly,Touched A Dream
Mary J. Blige Featuring Eve,Not Today
Aretha Franklin,Wonderful
Bravehearts Featuring Nas & Lil Jon,Quick To Back Down
Trillville,Neva Eva
"Marques Houston Featuring Jermaine ""JD"" Dupri",Pop That Booty
Ruben Studdard,Sorry 2004
B2K Featuring Fabolous,Badaboom
Big Tymers Featuring R. Kelly,Gangsta Girl
T.I.,Rubber Band Man
Obie Trice Featuring Nate Dogg,The Set Up
Cassidy Featuring R. Kelly,Hotel
Juvenile Featuring Mannie Fresh,In My Life
Ludacris,Splash Waterfalls
Sean Paul Featuring Sasha,I'm Still In Love With You
Usher Featuring Lil Jon & Ludacris,Yeah!
JAY-Z,Dirt Off Your Shoulder
Young Gunz Featuring Rell,No Better Love
J-Kwon,Tipsy
Petey Pablo,Freek-A-Leek
Chingy Featuring J. Weav,One Call Away
G-Unit Featuring Joe,Wanna Get To Know You
Master P,Them Jeans
JAY-Z,Encore
Missy Elliott,I'm Really Hot
Sleepy Brown Featuring OutKast,I Can't Wait
Eamon,F**k It (I Don't Want You Back)
Luther Vandross,Think About You
Lil' Flip,Game Over (Flip)
Alicia Keys,If I Ain't Got You
T.O.K.,Gal Yuh Ah Lead
Beenie Man Featuring Ms. Thing,Dude
Joe Featuring G-Unit,Ride Wit U
Mario Winans Featuring Enya & P. Diddy,I Don't Wanna Know
Jagged Edge,What's It Like
Avant,Don't Take Your Love Away
Musiq,whoknows
Kanye West Featuring Syleena Johnson,All Falls Down
Babyface,The Loneliness
Tamia,Questions
Usher,Burn
Janet Jackson,I Want You
Twista,Overnight Celebrity
Kanye West,Jesus Walks
OutKast,Roses
Beyonce,Naughty Girl
R. Kelly,Happy People
Teena Marie Featuring Baby,Still In Love
Carl Thomas,Make It Alright
Juvenile Featuring Soulja Slim,Slow Motion
Mobb Deep,Got It Twisted
D12,My Band
Usher,Confessions Part II
Nina Sky Featuring Jabba,Move Ya Body
Prince,Musicology
Young Gunz,Friday Night
Lloyd Banks,On Fire
Patti LaBelle,New Day
Monica,U Should've Known Better
Jadakiss Featuring Nate Dogg,Time's Up!
Brandy Featuring Kanye West,Talk About Our Love
JAY-Z,99 Problems
"Yung Wun Featuring DMX, Lil' Flip & David Banner",Tear It Up
Lloyd Featuring Ashanti,Southside
Elephant Man,Jook Gal (Wine Wine)
8Ball & MJG Featuring P. Diddy,You Don't Want Drama
Mase,Welcome Back
Alicia Keys Featuring Tony! Toni! Tone!,Diary
Slum Village Featuring Kanye West & John Legend,Selfish
Twista Featuring R. Kelly,So Sexy
Pitbull Featuring Lil Jon,Culo
Terror Squad,Lean Back
Dilated Peoples Featuring Kanye West,This Way
R. Kelly,U Saved Me
Ying Yang Twins Featuring Trick Daddy,Whats Happnin!
Prince,Call My Name
Kevin Lyttle Featuring Spragga Benz,Turn Me On
Lil' Flip Featuring Lea,Sunshine
"Houston Featuring Chingy, Nate Dogg & I-20",I Like That
Ruben Studdard,What If
Lil Scrappy,No Problem
Jadakiss Featuring Anthony Hamilton,Why?
Akon Featuring Styles P.,Locked Up
LL Cool J,Headsprung
Christina Milian,Dip It Low
T.I.,Let's Get Away
Fantasia,I Believe
Young Buck,Let Me In
Ciara Featuring Petey Pablo,Goodies
Usher,Confessions
Jill Scott,Golden
Anita Baker,You're My Everything
Nelly Featuring Jaheim,My Place
Lil' Wayne Featuring Mannie Fresh,Bring It Back
"Juvenile, Wacko & Skip",Nolia Clap
Shawnna Featuring Ludacris,Shake That Sh**
Anthony Hamilton,Charlene
Lenny Kravitz Featuring Jay-Z,Storm
Beyonce,Dangerously In Love
Nelly,Flap Your Wings
Crime Mob Featuring Lil Scrappy,Knuck If You Buck
Mase Featuring P. Diddy,"Breathe, Stretch, Shake"
Dem Franchize Boyz,White Tee's
Body Head Bangerz Featuring YoungBloodz,"I Smoke, I Drank"
Brandy,Who Is She 2 U
Guerilla Black Featuring Beenie Man,Compton
Usher And Alicia Keys,My Boo
Lloyd Banks,I'm So Fly
Beenie Man,King Of The Dancehall
New Edition,Hot 2Nite
Amel Larrieux,For Real
Brian McKnight,What We Do Here
Snoop Dogg Featuring Pharrell,Drop It Like It's Hot
Usher,Caught Up
LL Cool J Featuring 7 Aurelius,Hush
Lil Wayne,Go D.J.
Fabolous,Breathe
213,Groupie Luv
"N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato",Oye Mi Canto
Destiny's Child,Lose My Breath
Mobb Deep Featuring Lil Jon,Real Gangstaz
Chingy,Balla Baby
Trick Daddy Featuring Lil Jon & Twista,Let's Go
R. Kelly & Jay-Z,Big Chips
R. Kelly,"Red Carpet (Pause, Flash)"
Young Buck,Shorty Wanna Ride
Ja Rule Featuring R. Kelly & Ashanti,Wonderful
John Legend,Used To Love U
Eminem,Just Lose It
Terror Squad,Take Me Home
Rupee,Tempted To Touch
Mario,Let Me Love You
Jadakiss Featuring Mariah Carey,U Make Me Wanna
Mannie Fresh,Real Big
Lil Jon & The East Side Boyz Featuring Lil Scrappy,What U Gon' Do
Ciara Featuring Missy Elliott,"1, 2 Step"
Keyshia Cole Featuring Shyne,I Changed My Mind
Lloyd Banks Featuring Avant,Karma
Ja Rule Featuring Fat Joe & Jadakiss,New York
Ashanti,Only U
Twista Featuring R. Kelly,So Sexy Chapter II (Like This)
The Game Featuring 50 Cent,How We Do
Ludacris,Get Back
Destiny's Child Featuring T.I. & Lil Wayne,Soldier
Jill Scott,Whatever
Patti LaBelle Featuring Ron Isley,Gotta Go Solo
Lil Jon & The East Side Boyz Featuring Usher & Ludacris,Lovers And Friends
Trillville Featuring Cutty,Some Cut
T.I.,Bring Em Out
Alicia Keys,Karma
Nas Featuring Olu Dara,Bridging The Gap
50 Cent,Disco Inferno
"Eminem, Dr. Dre & 50 Cent",Encore
Guerilla Black Featuring Mario Winans,You're The One
Fantasia,Truth Is
Anita Baker,How Does It Feel?
John Legend,Ordinary People
T.I.,U Don't Know Me
Omarion,O
Snoop Dogg,Let's Get Blown
Tyra,Country Boy
Lalah Hathaway,"Forever, For Always, For Love"
Nivea Featuring Lil Jon & YoungBloodZ,Okay
Twista Featuring Faith Evans,Hope
Fabolous Featuring Mike Shorey,Baby
"The Alchemist Featuring Prodigy, Illa Ghee & Nina Sky",Hold You Down
Cassidy,I'm A Hustla
Daddy Yankee,Gasolina
50 Cent Featuring Olivia,Candy Shop
Mariah Carey,It's Like That
The Game Featuring 50 Cent,Hate It Or Love It
Bobby Valentino,Slow Down
Cam'Ron Featuring Kanye West & Syleena Johnson,Down And Out
Fantasia,Baby Mama
Amerie,1 Thing
Jennifer Lopez,Get Right
R. Kelly,In The Kitchen
"Trick Daddy Featuring Ludacris, Lil' Kim & Cee-Lo",Sugar (Gimme Some)
Mike Jones Featuring Slim Thug & Paul Wall,Still Tippin'
112 Featuring Foxy Brown,U Already Know
Usher,Throwback
Ying Yang Twins,Wait (The Whisper Song)
Brooke Valentine Featuring Lil Jon & Big Boi,Girlfight
Ludacris,Number One Spot
Raheem DeVaughn,Guess Who Loves You More
Tweet Featuring Missy Elliott,Turn Da Lights Off
Brian McKnight,Everytime You Go Away
Faith Evans,Again
Kem,I Can't Stop Loving You
Ciara Featuring Ludacris,Oh
Fat Joe,So Much More
Mario,How Could You
Stevie Wonder,So What The Fuss
Destiny's Child,Cater 2 U
Destiny's Child,Girl
Webbie Featuring Bun B,Give Me That
Marques Houston Featuring Young Rome,All Because Of You
